total,pospercent,BTC_change,VXX_change,XAU_change,change
9,0.7777777777777778,90.25,-0.41499999999999915,-0.6287500000000819,0.5194162750432825
6,0.6666666666666666,142.5,0.0,-0.9615000000001146,-0.6947697111631639
16,0.875,64.5,0.0,0.0,0.5106589932722861
6,1.0,-274.75,0.0,-0.5750000000000455,0.4568422509863597
63,0.746031746031746,-37.0,0.0,0.0,-0.6126068031597655
2,1.0,68.25,0.0,-1.3830000000000382,-0.7737216009003391
2,1.0,54.0,0.0,0.6042500000000928,-0.2918820310124741
48,0.625,-209.25,0.0,-0.58400000000006,0.06370441153050917
5,0.0,-381.25,0.0,-2.043250000000171,-0.3032345013477204
5,0.8,-211.25,0.0,0.0,-1.042571676802762
14,0.5714285714285714,88.25,0.0,-0.5960000000000036,0.07427581084427853
16,0.875,-103.75,0.0,0.6050000000000182,0.43275904303095314
