Gmt time,Open,High,Low,Close,Volume
02.01.2022 17:00:00.000,47746,47919,47311,47362,56768.9985
02.01.2022 18:00:00.000,47362,47362,46635,47000,59925.0011
02.01.2022 19:00:00.000,47000,47159,46808,46867,48138.9984
02.01.2022 20:00:00.000,46868,46997,46796,46965,38045.0003
02.01.2022 21:00:00.000,46962,47120,46874,46967,35091.0015
02.01.2022 22:00:00.000,46989,47332,46988,47210,29517.0005
02.01.2022 23:00:00.000,47213,47423,47209,47247,64015.0011
03.01.2022 00:00:00.000,47247,47249,47011,47012,57969.9986
03.01.2022 01:00:00.000,47012,47088,46904,47067,53167.9988
03.01.2022 02:00:00.000,47067,47068,46820,46946,53220.9985
03.01.2022 03:00:00.000,46946,47026,46687,46750,52700.0017
03.01.2022 04:00:00.000,46750,46892,46717,46770,51231.999
03.01.2022 05:00:00.000,46770,47165,46732,47031,50602.0002
03.01.2022 06:00:00.000,47029,47052,46842,46877,37436.9994
03.01.2022 07:00:00.000,46877,47022,46811,47003,33401.9996
03.01.2022 08:00:00.000,47003,47082,46888,46931,45506.0005
03.01.2022 09:00:00.000,46931,47044,46731,46928,50512.0009
03.01.2022 10:00:00.000,46927,47193,46926,47083,56914.0017
03.01.2022 11:00:00.000,47082,47376,47082,47342,47049.0009
03.01.2022 12:00:00.000,47342,47519,47129,47140,59147.9987
03.01.2022 13:00:00.000,47139,47306,47091,47102,41538.9985
03.01.2022 14:00:00.000,47102,47212,46742,46812,75568.9964
03.01.2022 15:00:00.000,46812,46958,46561,46630,65756.999
03.01.2022 16:00:00.000,46628,46716,46236,46430,74992.0011
03.01.2022 17:00:00.000,46429,46732,46363,46544,50802.9982
03.01.2022 18:00:00.000,46544,46673,46368,46416,53525.0008
03.01.2022 19:00:00.000,46416,46593,46317,46346,53027.9987
03.01.2022 20:00:00.000,46339,46349,45700,45865,80457.0019
03.01.2022 21:00:00.000,45864,46202,45769,45942,60800.9994
03.01.2022 22:00:00.000,45932,46385,45921,46169,39087.9996
03.01.2022 23:00:00.000,46170,46512,46124,46392,54953.0014
04.01.2022 00:00:00.000,46393,46478,46116,46193,80223.0015
04.01.2022 01:00:00.000,46194,46344,46002,46023,70901.9974
04.01.2022 02:00:00.000,46023,46202,45910,46067,59897.0018
04.01.2022 03:00:00.000,46059,46326,45970,46286,51970.9997
04.01.2022 04:00:00.000,46286,46356,45979,46045,48709.9998
04.01.2022 05:00:00.000,46045,46238,45999,46094,36166.9995
04.01.2022 06:00:00.000,46091,46341,46028,46324,51584.0016
04.01.2022 07:00:00.000,46324,46520,46280,46493,49187.9992
04.01.2022 08:00:00.000,46495,46626,46360,46447,56947.0003
04.01.2022 09:00:00.000,46445,46544,46253,46297,44672.9995
04.01.2022 10:00:00.000,46298,46692,46253,46594,55566.0017
04.01.2022 11:00:00.000,46594,46706,46584,46678,47164.0006
04.01.2022 12:00:00.000,46678,46709,46426,46588,57771.001
04.01.2022 13:00:00.000,46587,47019,46372,46914,63464.9992
04.01.2022 14:00:00.000,46914,47400,46785,47301,65863.9967
04.01.2022 15:00:00.000,47301,47482,46784,46860,83221.0034
04.01.2022 16:00:00.000,46859,46864,46596,46709,46886.0008
04.01.2022 17:00:00.000,46707,46922,46488,46489,36370.0017
04.01.2022 18:00:00.000,46488,46666,45503,45681,59517.9982
04.01.2022 19:00:00.000,45689,46454,45540,45991,80430.001
04.01.2022 20:00:00.000,45991,46451,45912,46211,54568.9985
04.01.2022 21:00:00.000,46211,46248,45971,46173,47878.9993
04.01.2022 22:00:00.000,46090,46188,45900,46101,54823.9984
04.01.2022 23:00:00.000,46101,46102,45711,45776,94782.0023
05.01.2022 00:00:00.000,45779,46241,45677,46224,81799.9989
05.01.2022 01:00:00.000,46223,46279,46062,46063,61266.0013
05.01.2022 02:00:00.000,46063,46333,46063,46263,53360.0003
05.01.2022 03:00:00.000,46263,46492,46255,46374,48718.0017
05.01.2022 04:00:00.000,46379,46472,46302,46353,48861.0007
05.01.2022 05:00:00.000,46354,46356,46195,46252,47648.0015
05.01.2022 06:00:00.000,46252,46407,46202,46399,39190.0018
05.01.2022 07:00:00.000,46394,46426,46286,46353,36295.9988
05.01.2022 08:00:00.000,46353,46614,46221,46591,38467.0012
05.01.2022 09:00:00.000,46589,46895,46536,46803,46016.0002
05.01.2022 10:00:00.000,46804,47001,46659,46763,44736.0016
05.01.2022 11:00:00.000,46766,46776,46074,46216,64469.0022
05.01.2022 12:00:00.000,46218,46290,45866,46172,68888.9995
05.01.2022 13:00:00.000,46171,46395,46059,46383,67045.0032
05.01.2022 14:00:00.000,46382,46774,46114,46662,85028.9986
05.01.2022 15:00:00.000,46657,46767,46331,46567,78519.0016
05.01.2022 16:00:00.000,46568,46614,46229,46241,58373.0005
05.01.2022 17:00:00.000,46242,46403,45959,45961,60968.0004
05.01.2022 18:00:00.000,45962,46206,45501,45871,98778.002
05.01.2022 19:00:00.000,45870,46042,44508,44612,139737.9935
05.01.2022 20:00:00.000,44611,44765,43723,43916,151228.9941
05.01.2022 21:00:00.000,43915,44256,43402,43548,134165.0039
05.01.2022 22:00:00.000,43625,43705,42441,43378,90047.0018
05.01.2022 23:00:00.000,43380,43647,43206,43381,96426.0027
06.01.2022 00:00:00.000,43391,43699,43333,43618,74464.0008
06.01.2022 01:00:00.000,43622,43722,43333,43505,59105.0014
06.01.2022 02:00:00.000,43505,43558,43107,43193,56200.0014
06.01.2022 03:00:00.000,43193,43246,42770,42784,74763
06.01.2022 04:00:00.000,42784,43084,42564,42986,100054.0033
06.01.2022 05:00:00.000,42986,43174,42795,42998,72671.0036
06.01.2022 06:00:00.000,43000,43163,42857,43035,60878.0012
06.01.2022 07:00:00.000,43035,43205,42949,43187,68432.0033
06.01.2022 08:00:00.000,43187,43202,42876,43003,75998.0008
06.01.2022 09:00:00.000,43003,43029,42393,42527,107854.0012
06.01.2022 10:00:00.000,42530,42877,42523,42820,78804.9996
06.01.2022 11:00:00.000,42820,42893,42645,42817,80000.9966
06.01.2022 12:00:00.000,42817,43000,42584,42998,82585.9979
06.01.2022 13:00:00.000,42998,43120,42855,43088,73490.0013
06.01.2022 14:00:00.000,43086,43178,42716,42733,84204.0032
06.01.2022 15:00:00.000,42733,42945,42612,42897,88843.0029
06.01.2022 16:00:00.000,42897,43040,42702,42825,77954.0017
06.01.2022 17:00:00.000,42827,43109,42751,42958,59663.9998
06.01.2022 18:00:00.000,42957,43331,42940,43315,55243.0004
06.01.2022 19:00:00.000,43315,43451,43183,43386,51552.9998
06.01.2022 20:00:00.000,43386,43522,43067,43168,64150.9965
06.01.2022 21:00:00.000,43164,43192,43023,43067,54033
06.01.2022 22:00:00.000,43073,43176,42949,43126,35002.0006
06.01.2022 23:00:00.000,43129,43181,43010,43039,42962.9982
07.01.2022 00:00:00.000,43039,43078,42690,42722,63458.0031
07.01.2022 01:00:00.000,42721,42962,42719,42950,60005.0017
07.01.2022 02:00:00.000,42949,42960,42718,42736,53367.0001
07.01.2022 03:00:00.000,42736,42763,41543,41747,125128.001
07.01.2022 04:00:00.000,41748,41837,40963,41638,148410.0074
07.01.2022 05:00:00.000,41638,41887,41481,41787,93778.9977
07.01.2022 06:00:00.000,41789,41790,41363,41453,104351.9974
07.01.2022 07:00:00.000,41456,41655,41173,41644,106044.0019
07.01.2022 08:00:00.000,41643,42686,41565,42019,114996.0011
07.01.2022 09:00:00.000,42019,42545,42006,42366,85680.0005
07.01.2022 10:00:00.000,42363,42465,42126,42130,87024.0033
07.01.2022 11:00:00.000,42130,42274,42110,42190,76655.9988
07.01.2022 12:00:00.000,42191,42428,42191,42347,69955.9972
07.01.2022 13:00:00.000,42347,42669,41194,41425,120995.9984
07.01.2022 14:00:00.000,41425,42043,41342,41839,98534.0029
07.01.2022 15:00:00.000,41842,41847,40620,41273,104997.0016
07.01.2022 16:00:00.000,41273,42229,40879,42111,125440.9999
07.01.2022 17:00:00.000,42111,42111,41722,41935,74155.0028
07.01.2022 18:00:00.000,41934,41940,41520,41645,70895.9997
07.01.2022 19:00:00.000,41646,41827,41520,41710,60745.0008
07.01.2022 20:00:00.000,41713,41986,41548,41856,70772.998
07.01.2022 21:00:00.000,41856,41960,41807,41819,52597.9996
07.01.2022 22:00:00.000,41818,41818,41318,41473,31031.9997
07.01.2022 23:00:00.000,41473,41520,41277,41488,42723.9984
08.01.2022 00:00:00.000,41489,42027,41489,41931,41437
08.01.2022 01:00:00.000,41931,42159,41792,41828,34621.0003
08.01.2022 02:00:00.000,41828,41870,41638,41816,25183.9999
08.01.2022 03:00:00.000,41815,41829,41590,41741,29350.9997
08.01.2022 04:00:00.000,41741,41917,41692,41839,33975.0014
08.01.2022 05:00:00.000,41837,41926,41781,41909,18146.9992
08.01.2022 06:00:00.000,41911,41927,41679,41858,22683.0002
08.01.2022 07:00:00.000,41858,41909,41785,41850,22362.9996
08.01.2022 08:00:00.000,41867,42118,41848,41910,51585
08.01.2022 09:00:00.000,41909,42104,41909,42102,45159.0009
08.01.2022 10:00:00.000,42102,42141,41767,41865,39547.9985
08.01.2022 11:00:00.000,41867,41914,41717,41893,39289.0014
08.01.2022 12:00:00.000,41893,41992,41734,41831,46622.0006
08.01.2022 13:00:00.000,41830,41973,41615,41856,52508.0003
08.01.2022 14:00:00.000,41856,41939,41676,41684,48693.0013
08.01.2022 15:00:00.000,41684,41739,41447,41556,64832.0019
08.01.2022 16:00:00.000,41557,41679,41249,41282,61319.9994
08.01.2022 17:00:00.000,41282,41333,40800,40800,73923.9976
08.01.2022 18:00:00.000,40800,41242,40551,40723,84223.0022
08.01.2022 19:00:00.000,40723,41098,40551,40765,63057.9963
08.01.2022 20:00:00.000,40765,41096,40673,40980,58162.5998
08.01.2022 21:00:00.000,40980,41988,40957,41735,73147.9973
08.01.2022 22:00:00.000,41733,42249,41694,41875,65596.9977
08.01.2022 23:00:00.000,41875,41889,41618,41632,57068.0015
09.01.2022 00:00:00.000,41632,41763,41346,41717,68475.9989
09.01.2022 01:00:00.000,41716,41858,41565,41769,54593.0006
